Row_Number,Time,Main_Engine_Fuel_Consumption_MT_day,Main_Engine_Using_HFO_bool,Main_Engine_Using_MGO_bool,Draft_Forward_meters,Draft_Aft_meters,Draft_Mid_1_meters,Draft_Mid_2_meters,Speed_Over_Ground_knots,Speed_Through_Water_knots,Heading_degrees,Rudder_Angle_degrees,Weather_Service_Apparent_Wind_Speed_knots,Weather_Service_Apparent_Wind_Direction_degrees_from_bow,Weather_Service_True_Wind_Speed_knots,Weather_Service_True_Wind_Direction_degrees_from_north,Weather_Service_Temperature_celsius,Water_Depth_meters,id
0,2017-07-06T09:15:00,39.45954579023875,0.0,0.0,0.0,0.0,0.0,11.49769530408434,15.4634475583083,15.607448602158879,167.74168746623673,358.025169192793,10.562147024676003,-20.425280489415197,6.675337518416709,314.2244839047036,20.283069851379423,0.0,10
1,2017-07-06T10:00:00,39.068839732856695,0.0,0.0,0.0,0.0,0.0,11.509351737204799,15.74435448428699,15.776289137112158,168.03423884521155,357.9674472363894,11.235847378115798,-23.42652540978686,7.034936161449073,308.6154981145312,20.36086627089435,0.0,10
2,2017-07-06T11:00:00,39.033463510750316,0.0,0.0,0.0,0.0,0.0,11.531678099329115,15.939796072385157,15.707046479683049,152.4965065785436,358.6057299295079,9.877020256015845,-22.396395000841576,7.778707969375252,303.5632449558116,20.53443514916995,0.0,10
3,2017-07-06T12:00:00,39.319707036408985,0.0,0.0,0.0,0.0,0.0,11.545624212291141,16.135230252792475,15.723441798824409,128.6010485580193,358.86469401585833,7.794502646553768,-8.588757045913644,8.508142760078869,300.737464493011,20.641539404342495,0.0,10
4,2017-07-06T13:00:00,39.40911930844608,0.0,0.0,0.0,0.0,0.0,11.549795456125143,16.17616761565194,15.692470603237183,107.9451652473319,358.951153298253,8.224945980059562,15.548502554021143,8.541663395191438,302.90339640115906,20.66217400183109,0.0,10
5,2017-07-06T14:00:00,39.226599835238,0.0,0.0,0.0,0.0,0.0,11.550793619597425,16.42596873641036,15.816611498483676,107.00366380764255,358.88628383575536,9.362268054830652,45.53451115745922,11.91717141798166,321.1057671286149,20.881456256713932,0.0,10
6,2017-07-06T15:00:00,39.172540886322885,0.0,0.0,0.0,0.0,0.0,11.552047743932693,16.492002921626042,15.7874015771869,106.96229368553928,358.8792658116566,7.625364605595126,42.88891396156027,12.076988152652168,312.4117733870442,21.08508765075686,0.0,10
7,2017-07-06T16:00:00,39.077359555830206,0.0,0.0,0.0,0.0,0.0,11.549943340764376,16.23314430410136,15.84343507351419,106.41733349045668,358.9718387487843,6.34245437756115,35.17177852538193,11.637013597658889,304.71478187963095,21.07272500559492,0.0,10
8,2017-07-06T17:00:00,39.15164100578272,0.0,0.0,0.0,0.0,0.0,11.549259124985417,16.293591177404085,15.832382857914041,109.52123518459656,358.99007988194944,5.277626993385036,29.143769900491463,11.963462615388652,301.92731936739386,21.166115178731275,0.0,10
9,2017-07-06T18:00:00,39.19704088451387,0.0,0.0,0.0,0.0,0.0,11.552928221692543,16.40748423260625,15.838177212203375,106.70757514088855,358.8421172306848,5.499430122490475,42.72899645334724,12.918431442179099,303.4969158897986,21.23786925494568,0.0,10
10,2017-07-06T19:00:00,39.255406093767895,0.0,0.0,0.0,0.0,0.0,11.556863652082477,16.177872292586148,15.832230231944074,102.28860081459013,359.15620403403517,7.070491752765458,45.65175639603239,12.320731279066111,306.51709525578997,21.101180299801342,0.0,10
11,2017-07-06T20:00:00,39.27129523940178,0.0,0.0,0.0,0.0,0.0,11.567049205279273,15.957884233740618,15.835498963637376,88.62392321381256,359.4256099179227,11.360219561245776,45.10937879061309,11.305872296934442,314.0104500183856,21.319996853769908,0.0,10
12,2017-07-06T21:00:00,39.3393304443797,0.0,0.0,0.0,0.0,0.0,11.560642861907466,15.739091544640132,15.75703130927475,90.89181353877883,359.04296824533134,10.511143167719363,33.58942102205254,9.08731383404263,310.67772809714216,21.006330933522577,0.0,10
13,2017-07-06T22:00:00,39.279374534198936,0.0,0.0,0.0,0.0,0.0,11.557755728462107,16.2276891313325,15.6188096554746,89.9488046090501,358.84221847620717,12.820130132119148,20.31282274028719,6.122669464871497,316.57434041189157,20.171814692450596,0.0,10
14,2017-07-06T23:00:00,31.083325708613845,0.0,0.0,0.0,0.0,0.0,11.541254861217842,15.848924055383966,14.473315657378315,86.40854202908429,359.294705516303,12.186342237734186,12.901778121626402,4.8131537251827865,300.83304178323675,19.21744725013218,0.0,10
15,2017-07-07T00:00:00,28.03577617619222,0.0,0.0,0.0,0.0,0.0,11.52298577833559,15.43647217400389,13.911579118286264,73.45274293518591,359.10108494255564,9.252912381878744,13.869652725055149,6.823882244393585,272.4208891691561,18.36867136896774,0.0,10
16,2017-07-07T01:00:00,37.22699429878837,0.0,0.0,0.0,0.0,0.0,11.558084086117617,16.895130453807532,15.425135891538844,78.97343170658498,358.94287298250214,7.464109195623584,20.052000270893828,10.209452797424948,273.4908080265364,19.915684020670597,0.0,10
17,2017-07-07T02:00:00,39.074301994382274,0.0,0.0,0.0,0.0,0.0,11.565530598190099,16.663494922946278,15.941780579237735,81.14246274858357,358.8950453012073,3.261024004343233,24.746104016198082,13.769754659576947,266.83179747291194,20.993139168497805,0.0,10
18,2017-07-07T03:00:00,39.324496418577986,0.0,0.0,0.0,0.0,0.0,11.566889531348375,17.04394575008866,15.804146817496141,83.61491320048059,358.56278224230454,3.806515521426151,31.277593548608458,13.931549027734093,271.77022081213465,21.739692152669306,0.0,10
19,2017-07-07T04:00:00,39.250659240505755,0.0,0.0,0.0,0.0,0.0,11.571972488426601,18.0587319383219,15.87379524677005,80.93684482030459,358.7688040416235,7.559641645518286,23.894981580195914,11.559969190341597,276.29725946409724,22.046366810268182,0.0,10
20,2017-07-07T05:00:00,38.39274163586336,0.0,0.0,0.0,0.0,0.0,11.568297637513592,17.34064092549396,15.998360783601433,80.0376559404693,358.9881076158076,9.305652332209927,19.787872740121358,9.144264553641,280.1897665473865,22.109475937857383,0.0,10
21,2017-07-07T06:00:00,37.7889363862083,0.0,0.0,0.0,0.0,0.0,11.527291083392633,16.328698660289735,15.788557848537668,79.35888403623326,359.0382626771703,9.733819097919788,17.41993922054915,7.620477357443495,281.841068990251,21.995931761474594,0.0,10
22,2017-07-07T07:00:00,37.86812389604581,0.0,0.0,0.0,0.0,0.0,11.513383118478998,15.453217461618292,15.58800694833574,78.78481041010085,358.0727552274693,8.355518223405692,12.576601030479205,7.521541578135117,272.7828002912086,21.743503264363653,0.0,10
23,2017-07-07T08:00:00,37.608620714197095,0.0,0.0,0.0,0.0,0.0,11.511178263456866,15.47399990933346,15.378947997392068,83.52824067087737,357.7558966027777,5.691635832993011,11.468817482903532,9.960507915770373,270.05216690263353,21.738066229214155,0.0,10
24,2017-07-07T09:00:00,37.92302637120912,0.0,0.0,0.0,0.0,0.0,11.507931755716935,16.239449252431772,15.4074434271921,82.77145787961013,358.1680491603468,6.830784095715001,4.70335376819618,9.448283523738791,266.16999578200625,21.907894169840517,0.0,10
25,2017-07-07T10:00:00,35.51852678085666,0.0,0.0,0.0,0.0,0.0,11.50661497578155,16.81634079601173,15.394995104524984,79.07198435578239,358.3804871934386,9.015558624769112,4.458370601184662,7.859371167017034,264.1878587622185,21.74057416120411,0.0,10
26,2017-07-07T11:00:00,34.930097710225965,0.0,0.0,0.0,0.0,0.0,11.450202229150175,16.029135086305217,15.222009694360226,80.88755698492832,357.3665818344314,9.288186896887215,5.63315855816652,6.84677680397497,268.5397997968579,21.908846249389626,0.0,10
27,2017-07-07T12:00:00,34.86921834980906,0.0,0.0,0.0,0.0,0.0,11.374817518770842,15.692124455976293,15.179936680311558,79.17176839139822,357.9389511338908,10.026994705097984,15.50235862897105,6.598657360832911,283.13451352366764,22.442486382812547,0.0,10
28,2017-07-07T13:00:00,35.712379937461904,0.0,0.0,0.0,0.0,0.0,11.381375986819743,15.42946971133205,15.399025770048066,77.30000623072411,358.49607764362304,10.767225518053232,22.840867813249307,6.9130739510768,294.499050921276,22.780211103515626,0.0,10
29,2017-07-07T14:00:00,37.7309679675963,0.0,0.0,0.0,0.0,0.0,11.386409894537024,15.71673203174055,15.585779710084942,79.07231119546788,358.4232351392345,3.764170879915374,-4.100756762512692,11.965226231762895,257.7832360861669,22.975906875315445,0.0,10
30,2017-07-07T15:00:00,37.64955619721021,0.0,0.0,0.0,0.0,0.0,11.38354027990985,15.75281592481025,15.547137760876351,80.19519061369938,358.19231662103886,1.4703527761867317,4.308652958909171,14.287045728688959,260.63820267364724,22.90384710807291,0.0,10
31,2017-07-07T16:00:00,37.722246093755,0.0,0.0,0.0,0.0,0.0,11.367582450719116,15.94686636215494,15.695563847178159,83.93539974774596,357.845623849359,3.611406366046347,-15.206288391299267,12.497853080631922,259.5885920481189,22.844918273925828,0.0,10
32,2017-07-07T17:00:00,37.737078416447666,0.0,0.0,0.0,0.0,0.0,11.375261155688676,16.319349005990574,15.85511204466061,81.78882273734736,358.0236897619058,5.608467082962528,-7.309499162691753,10.780101920727969,257.99350718712066,22.844050665859697,0.0,10
