id,model,year,transmission,mileage,fueltype,price,tax
1, A1,2017,Manual,15735,Petrol,12500,150
2, A6,2016,Automatic,36203,Diesel,16500,20
3, A1,2016,Manual,29946,Petrol,11000,30
4, A4,2017,Automatic,25952,Diesel,16800,145
5, A3,2019,Manual,1998,Petrol,17300,145
6, A1,2016,Automatic,32260,Petrol,13900,30
7, A6,2016,Automatic,76788,Diesel,13250,30
8, A4,2016,Manual,75185,Diesel,11750,20
9, A3,2015,Manual,46112,Petrol,10200,20
10, A1,2016,Manual,22451,Petrol,12000,30
11, A3,2017,Manual,28955,Petrol,16100,145
12, A6,2016,Automatic,52198,Diesel,16500,125
13, Q3,2016,Manual,44915,Diesel,17000,145
14, A3,2017,Manual,21695,Petrol,16400,30
15, A6,2015,Manual,47348,Diesel,15400,30
16, A3,2017,Automatic,26156,Petrol,14500,145
17, Q3,2016,Automatic,28396,Diesel,15700,145
18, A3,2014,Automatic,30516,Petrol,13900,30
19, Q5,2016,Automatic,37652,Diesel,19000,200
20, Q3,2014,Manual,34110,Petrol,17000,145
21, A5,2017,Automatic,37100,Diesel,17300,145
22, Q5,2016,Automatic,23714,Diesel,20200,200
23, A5,2017,Automatic,21649,Diesel,22500,145
24, A6,2015,Automatic,62748,Diesel,17500,150
25, Q5,2016,Automatic,23789,Diesel,20000,200
26, A4,2017,Automatic,17418,Diesel,18500,145
27, A5,2017,Automatic,33300,Diesel,19500,145
28, A1,2018,Manual,10793,Petrol,15800,145
29, A4,2018,Automatic,25138,Diesel,17200,145
30, A6,2015,Manual,61176,Diesel,14000,30
31, A1,2015,Automatic,54754,Diesel,9500,0
32, Q3,2017,Manual,21369,Petrol,16500,125
33, Q3,2014,Automatic,39190,Diesel,15000,205
34, Q3,2017,Automatic,47482,Petrol,16000,150
35, Q3,2016,Automatic,40501,Diesel,16900,150
36, Q3,2014,Automatic,43195,Diesel,12300,200
37, A1,2017,Manual,31447,Petrol,10800,145
38, A6,2016,Automatic,34030,Diesel,19400,125
39, A4,2017,Manual,29063,Diesel,16000,145
40, A3,2017,Manual,29545,Diesel,17100,145
41, A3,2015,Manual,75619,Diesel,11300,20
42, Q3,2016,Automatic,39603,Diesel,17200,160
43, Q3,2017,Automatic,42908,Diesel,20300,145
44, A5,2014,Automatic,83872,Diesel,13200,125
45, Q3,2016,Automatic,58750,Petrol,15200,145
46, A3,2019,Manual,2029,Petrol,15700,145
47, A6,2018,Automatic,22958,Petrol,16600,145
48, A4,2017,Automatic,32097,Diesel,14400,145
49, A5,2017,Automatic,13057,Petrol,20200,145
50, S4,2017,Automatic,20278,Petrol,23700,145
51, A4,2016,Manual,52561,Diesel,12750,0
52, A6,2015,Automatic,31604,Diesel,13000,20
53, Q3,2016,Manual,32011,Petrol,15900,145
54, Q3,2016,Manual,39134,Diesel,15000,30
55, Q5,2015,Automatic,89483,Diesel,14700,205
56, A3,2015,Automatic,56291,Petrol,15000,200
57, A6,2016,Automatic,47767,Diesel,16000,20
58, A1,2014,Manual,34315,Petrol,11000,125
59, A3,2016,Manual,66369,Diesel,10200,0
60, A6,2016,Manual,34110,Diesel,18500,30
61, A1,2013,Manual,76269,Diesel,7000,0
62, A3,2016,Manual,37840,Diesel,10600,20
63, A3,2017,Manual,26249,Diesel,16000,30
64, Q3,2017,Manual,44898,Diesel,15000,125
65, Q3,2017,Manual,67161,Petrol,14000,150
66, A3,2018,Manual,17992,Petrol,18950,150
67, A4,2016,Manual,97440,Diesel,10200,20
68, A1,2017,Manual,19268,Petrol,11700,150
69, A3,2013,Automatic,51441,Petrol,11500,125
70, A1,2016,Manual,18181,Petrol,10800,0
71, A3,2016,Manual,19494,Diesel,12500,30
72, A6,2016,Manual,32808,Diesel,16600,30
73, A3,2017,Manual,25965,Diesel,13100,145
74, A3,2016,Manual,88215,Diesel,8300,20
75, A3,2019,Manual,5704,Petrol,16000,145
76, A4,2017,Manual,10959,Petrol,16900,145
77, Q5,2016,Automatic,30201,Diesel,19600,200
78, Q3,2017,Automatic,19319,Petrol,21800,145
79, A6,2017,Manual,22582,Diesel,16200,145
80, A5,2017,Manual,20052,Petrol,18700,145
81, Q3,2016,Manual,16666,Diesel,16100,30
82, A3,2016,Manual,25626,Diesel,11300,0
83, A3,2016,Manual,10460,Petrol,14100,20
84, A6,2016,Automatic,43307,Diesel,16600,125
85, A1,2017,Manual,29327,Petrol,11300,30
86, Q3,2017,Manual,36714,Petrol,15600,125
87, A1,2014,Manual,28324,Petrol,10000,125
88, A1,2016,Manual,12100,Petrol,14500,30
89, Q3,2017,Manual,18001,Diesel,16100,145
90, A1,2016,Manual,28760,Petrol,10600,30
91, A3,2019,Semi-Auto,4000,Petrol,25499,145
92, Q2,2019,Semi-Auto,7897,Diesel,25499,145
93, A6,2016,Automatic,24744,Diesel,15500,125
94, Q3,2015,Automatic,30075,Diesel,16200,160
95, A1,2017,Manual,12577,Petrol,14000,30
96, A6,2016,Automatic,24421,Diesel,17300,30
97, A1,2016,Manual,15567,Diesel,10600,0
98, A4,2018,Manual,15207,Petrol,17500,145
99, A4,2017,Manual,14864,Petrol,15000,145
100, A4,2019,Semi-Auto,9000,Petrol,25499,145
101, A4,2019,Manual,5000,Petrol,25000,145
102, Q2,2019,Semi-Auto,4264,Petrol,31000,145
103, Q3,2019,Manual,4000,Diesel,28000,145
104, Q3,2019,Manual,4000,Petrol,28000,145
105, Q2,2019,Manual,2721,Diesel,21499,145
106, Q2,2019,Semi-Auto,4000,Petrol,26000,145
107, Q5,2016,Semi-Auto,49649,Diesel,30000,235
108, A4,2017,Manual,14068,Petrol,17000,145
109, A4,2017,Manual,23092,Petrol,14500,145
110, Q3,2017,Automatic,30682,Diesel,17500,160
111, A1,2016,Manual,18272,Petrol,10500,0
112, Q2,2017,Automatic,23714,Diesel,14800,145
113, A6,2016,Automatic,71311,Diesel,12000,30
114, A6,2018,Automatic,29477,Diesel,22000,145
115, Q5,2016,Automatic,60551,Diesel,17800,200
116, A6,2017,Automatic,42071,Diesel,19800,30
117, A7,2014,Automatic,55774,Diesel,19500,235
118, A1,2016,Manual,36462,Diesel,9800,0
119, A3,2016,Manual,25376,Petrol,15500,30
120, A4,2017,Automatic,39388,Diesel,16800,145
121, A3,2017,Manual,64207,Diesel,11500,20
122, A1,2017,Manual,49221,Petrol,12100,145
123, A1,2017,Manual,27179,Diesel,12700,0
124, A4,2014,Manual,31376,Diesel,11700,125
125, A5,2015,Automatic,62668,Diesel,11500,145
126, A4,2017,Manual,10001,Petrol,17400,145
127, A6,2016,Automatic,52544,Diesel,16000,30
128, A4,2016,Manual,63097,Petrol,13100,125
129, A6,2016,Manual,72967,Diesel,14700,30
130, A5,2017,Automatic,32771,Diesel,21100,145
131, Q3,2018,Automatic,13303,Petrol,24400,145
132, A3,2019,Manual,2752,Petrol,18750,145
