"id","model","year","transmission","mileage","fueltype","price","tax","mpg","enginesize"
1, A1,2017,Manual,15735,Petrol,12500,150.0,55.4,1.4
2, A6,2016,Automatic,36203,Diesel,16500,20.0,64.2,2.0
3, A1,2016,Manual,29946,Petrol,11000,30.0,55.4,1.4
4, A4,2017,Automatic,25952,Diesel,16800,145.0,67.3,2.0
5, A3,2019,Manual,1998,Petrol,17300,145.0,49.6,1.0
6, A1,2016,Automatic,32260,Petrol,13900,30.0,58.9,1.4
7, A6,2016,Automatic,76788,Diesel,13250,30.0,61.4,2.0
8, A4,2016,Manual,75185,Diesel,11750,20.0,70.6,2.0
9, A3,2015,Manual,46112,Petrol,10200,20.0,60.1,1.4
10, A1,2016,Manual,22451,Petrol,12000,30.0,55.4,1.4
11, A3,2017,Manual,28955,Petrol,16100,145.0,58.9,1.4
12, A6,2016,Automatic,52198,Diesel,16500,125.0,57.6,2.0
13, Q3,2016,Manual,44915,Diesel,17000,145.0,52.3,2.0
14, A3,2017,Manual,21695,Petrol,16400,30.0,58.9,1.4
15, A6,2015,Manual,47348,Diesel,15400,30.0,61.4,2.0
16, A3,2017,Automatic,26156,Petrol,14500,145.0,58.9,1.4
17, Q3,2016,Automatic,28396,Diesel,15700,145.0,53.3,2.0
18, A3,2014,Automatic,30516,Petrol,13900,30.0,56.5,1.4
19, Q5,2016,Automatic,37652,Diesel,19000,200.0,47.1,2.0
20, Q3,2014,Manual,34110,Petrol,17000,145.0,47.9,1.4
21, A5,2017,Automatic,37100,Diesel,17300,145.0,67.3,2.0
22, Q5,2016,Automatic,23714,Diesel,20200,200.0,47.1,2.0
23, A5,2017,Automatic,21649,Diesel,22500,145.0,58.9,3.0
24, A6,2015,Automatic,62748,Diesel,17500,150.0,53.3,3.0
25, Q5,2016,Automatic,23789,Diesel,20000,200.0,47.1,2.0
26, A4,2017,Automatic,17418,Diesel,18500,145.0,62.8,2.0
27, A5,2017,Automatic,33300,Diesel,19500,145.0,61.4,2.0
28, A1,2018,Manual,10793,Petrol,15800,145.0,56.5,1.4
29, A4,2018,Automatic,25138,Diesel,17200,145.0,70.6,2.0
30, A6,2015,Manual,61176,Diesel,14000,30.0,62.8,2.0
31, A1,2015,Automatic,54754,Diesel,9500,0.0,76.3,1.6
32, Q3,2017,Manual,21369,Petrol,16500,125.0,51.4,1.4
