id,model,year,transmission,mileage,fueltype,mpg,enginesize
1, A1,2017,Manual,15735,Petrol,55.4,1.4
2, A6,2016,Automatic,36203,Diesel,64.2,2
3, A1,2016,Manual,29946,Petrol,55.4,1.4
4, A4,2017,Automatic,25952,Diesel,67.3,2
5, A3,2019,Manual,1998,Petrol,49.6,1
6, A1,2016,Automatic,32260,Petrol,58.9,1.4
7, A6,2016,Automatic,76788,Diesel,61.4,2
8, A4,2016,Manual,75185,Diesel,70.6,2
9, A3,2015,Manual,46112,Petrol,60.1,1.4
10, A1,2016,Manual,22451,Petrol,55.4,1.4
11, A3,2017,Manual,28955,Petrol,58.9,1.4
12, A6,2016,Automatic,52198,Diesel,57.6,2
13, Q3,2016,Manual,44915,Diesel,52.3,2
14, A3,2017,Manual,21695,Petrol,58.9,1.4
15, A6,2015,Manual,47348,Diesel,61.4,2
16, A3,2017,Automatic,26156,Petrol,58.9,1.4
17, Q3,2016,Automatic,28396,Diesel,53.3,2
18, A3,2014,Automatic,30516,Petrol,56.5,1.4
19, Q5,2016,Automatic,37652,Diesel,47.1,2
20, Q3,2014,Manual,34110,Petrol,47.9,1.4
21, A5,2017,Automatic,37100,Diesel,67.3,2
22, Q5,2016,Automatic,23714,Diesel,47.1,2
23, A5,2017,Automatic,21649,Diesel,58.9,3
24, A6,2015,Automatic,62748,Diesel,53.3,3
25, Q5,2016,Automatic,23789,Diesel,47.1,2
26, A4,2017,Automatic,17418,Diesel,62.8,2
27, A5,2017,Automatic,33300,Diesel,61.4,2
28, A1,2018,Manual,10793,Petrol,56.5,1.4
29, A4,2018,Automatic,25138,Diesel,70.6,2
30, A6,2015,Manual,61176,Diesel,62.8,2
31, A1,2015,Automatic,54754,Diesel,76.3,1.6
32, Q3,2017,Manual,21369,Petrol,51.4,1.4
33, Q3,2014,Automatic,39190,Diesel,47.9,2
34, Q3,2017,Automatic,47482,Petrol,47.9,1.4
35, Q3,2016,Automatic,40501,Diesel,51.4,2
36, Q3,2014,Automatic,43195,Diesel,47.9,2
37, A1,2017,Manual,31447,Petrol,67.3,1
38, A6,2016,Automatic,34030,Diesel,58.9,2
39, A4,2017,Manual,29063,Diesel,70.6,2
40, A3,2017,Manual,29545,Diesel,65.7,2
41, A3,2015,Manual,75619,Diesel,68.9,2
42, Q3,2016,Automatic,39603,Diesel,50.4,2
43, Q3,2017,Automatic,42908,Diesel,51.4,2
44, A5,2014,Automatic,83872,Diesel,58.9,2
45, Q3,2016,Automatic,58750,Petrol,47.9,1.4
46, A3,2019,Manual,2029,Petrol,49.6,1
47, A6,2018,Automatic,22958,Petrol,50.4,1.8
48, A4,2017,Automatic,32097,Diesel,72.4,2
49, A5,2017,Automatic,13057,Petrol,53.3,2
50, S4,2017,Automatic,20278,Petrol,38.7,3
51, A4,2016,Manual,52561,Diesel,74.3,2
52, A6,2015,Automatic,31604,Diesel,67.3,2
53, Q3,2016,Manual,32011,Petrol,49.6,1.4
54, Q3,2016,Manual,39134,Diesel,60.1,2
55, Q5,2015,Automatic,89483,Diesel,47.1,2
56, A3,2015,Automatic,56291,Petrol,42.8,1.8
57, A6,2016,Automatic,47767,Diesel,61.4,2
58, A1,2014,Manual,34315,Petrol,53.3,1.4
59, A3,2016,Manual,66369,Diesel,83.1,1.6
60, A6,2016,Manual,34110,Diesel,61.4,2
61, A1,2013,Manual,76269,Diesel,74.3,1.6
62, A3,2016,Manual,37840,Diesel,70.6,1.6
63, A3,2017,Manual,26249,Diesel,67.3,1.6
64, Q3,2017,Manual,44898,Diesel,57.7,2
65, Q3,2017,Manual,67161,Petrol,51.4,1.4
66, A3,2018,Manual,17992,Petrol,54.3,1.5
67, A4,2016,Manual,97440,Diesel,70.6,2
68, A1,2017,Manual,19268,Petrol,67.3,1
69, A3,2013,Automatic,51441,Petrol,50.4,1.8
70, A1,2016,Manual,18181,Petrol,67.3,1
71, A3,2016,Manual,19494,Diesel,67.3,2
72, A6,2016,Manual,32808,Diesel,61.4,2
73, A3,2017,Manual,25965,Diesel,65.7,2
74, A3,2016,Manual,88215,Diesel,68.9,2
75, A3,2019,Manual,5704,Petrol,49.6,1
76, A4,2017,Manual,10959,Petrol,51.4,1.4
77, Q5,2016,Automatic,30201,Diesel,47.1,2
78, Q3,2017,Automatic,19319,Petrol,40.4,2
79, A6,2017,Manual,22582,Diesel,61.4,2
80, A5,2017,Manual,20052,Petrol,49.6,2
81, Q3,2016,Manual,16666,Diesel,60.1,2
82, A3,2016,Manual,25626,Diesel,74.3,1.6
83, A3,2016,Manual,10460,Petrol,60.1,1.4
84, A6,2016,Automatic,43307,Diesel,57.6,2
85, A1,2017,Manual,29327,Petrol,55.4,1.4
86, Q3,2017,Manual,36714,Petrol,51.4,1.4
87, A1,2014,Manual,28324,Petrol,53.3,1.4
88, A1,2016,Manual,12100,Petrol,56.5,1.4
89, Q3,2017,Manual,18001,Diesel,62.8,2
90, A1,2016,Manual,28760,Petrol,55.4,1.4
91, A3,2019,Semi-Auto,4000,Petrol,44.1,1.5
92, Q2,2019,Semi-Auto,7897,Diesel,47.9,2
93, A6,2016,Automatic,24744,Diesel,56.5,3
94, Q3,2015,Automatic,30075,Diesel,51.4,2
95, A1,2017,Manual,12577,Petrol,58.9,1.4
96, A6,2016,Automatic,24421,Diesel,61.4,2
97, A1,2016,Manual,15567,Diesel,76.3,1.6
98, A4,2018,Manual,15207,Petrol,51.4,1.4
99, A4,2017,Manual,14864,Petrol,52.3,1.4
100, A4,2019,Semi-Auto,9000,Petrol,38.7,2
101, A4,2019,Manual,5000,Petrol,38.7,2
102, Q2,2019,Semi-Auto,4264,Petrol,33.2,2
103, Q3,2019,Manual,4000,Diesel,42.8,2
104, Q3,2019,Manual,4000,Petrol,42.2,1.5
105, Q2,2019,Manual,2721,Diesel,49.6,1.6
106, Q2,2019,Semi-Auto,4000,Petrol,42.2,1.5
107, Q5,2016,Semi-Auto,49649,Diesel,42.2,3
108, A4,2017,Manual,14068,Petrol,51.4,1.4
109, A4,2017,Manual,23092,Petrol,52.3,1.4
110, Q3,2017,Automatic,30682,Diesel,50.4,2
111, A1,2016,Manual,18272,Petrol,67.3,1
