unique_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended
1,Privilege Style,2,"""operated by Privilege Style""",5th September 2018,False,"Very disappointed in this Norwegian flight operated by Privilege Style. Seats were uncomfortable with little or no leg room and it was an older airplane. This was a group fare, which we paid more for, that we could have booked for less, three days before our departure date. The crew were not friendly, one of our party asked for a blanket and was told that they had to buy it.",Boeing 747-400,Solo Leisure,Economy Class,Rome to Newark,Aug-18,1,1,2,2,1,2,1,no
2,Thomas Cook Airlines,8,"""flights were really good""",18th September 2018,True,"Manchester to Orlando return. Both flights were really good. Seats were comfy and had plenty of leg room. All cabin crew on both flights were brilliant and helpful. Aircraft was very clean, especially the toilet areas. Both take off and landings were smooth, some of the best landings I’ve experienced. Only down side was paying for extras like movies and drinks, but it’s a small price to pay for how good the flight was. Will fly again in future!",A330-243,Couple Leisure,Economy Class,Manchester to Orlando,Sep-18,4,5,4,4,4,4,4,yes
3,Virgin Australia,1,"""customer service is very rude""",22nd September 2022,True,"Terrible airline. I had a flights from Sydney to Denpasar and my flight was 5.40pm and i got messages from Virgin Australia customer service it says my flight is cancel and new flight is on 1pm to Brisbane and then Denpasar. Actually Sydney to Denpasar flight were not cancel, they sold my ticket to someone else for more expensive. And they took my flights much cheaper fares and flight time is earlier. Actually to Denpasar ticket via from Brisbane much cheaper then direct flight. And also they rescheduled my flight just before one hour from Brisbane flight. They gave me one hour notice for international flight. They are nightmare, customer service is very rude and arrogant.",Boeing 737-800,Couple Leisure,Economy Class,Sydney to Denpasar,Aug-22,1,1,1,1,1,1,1,no
4,Air France,1,"""the worst airline experience we have had""",26th June 2023,True,"Absolutely terrible experience with this airline. I flew to Paris with my friend at the end of May and at the airport was informed that even though we paid and did everything correctly with the booking, for some reason tickets were not issued. They let us stay at the airport handing us a paper with contact for AF customer service, where after a longer wait they said they don’t know how to deal with the problem so they have to think about it - I guess not realizing we are under a time pressure and could miss the flight - already in pressure and missed the time we wanted to stay at the airport lounge. After some time, they came up with a solution - to pay for the tickets again, yes, double charge us",A320,Couple Leisure,Economy Class,Prague to Paris,May-23,1,1,1,1,1,1,1,no
5,Philippine Airlines,4,"""schedule that was changed three times""",28th May 2023,True,"This flight is a replacement schedule for the original flight schedule that was changed three times. The original flight was supposed to head to HNL then connect to LAS via a different airline. The original schedule had at least 5 hours layover which we were going to use to meet some relatives at the airport. PAL made adjustments three times until it already affected the connecting flight schedule, which PAL did not adjust. If I hadn’t informed them about this, it would have been a disaster. So the replaced the original schedule into a completely different schedule and airports. We have to cancel meeting with my relatives. Not the first time this happened. Similarly, The outbound flight 10 days ago was also replaced with a different flight schedule and plane. Also noticed food is not",Boeing 777,Family Leisure,Economy Class,Manila to Vancouver,May-23,2,4,2,3,1,1,1,no
6,Philippine Airlines,8,"""I will fly them again""",23rd May 2023,True,"This an addendum to my previous review of PAL Flight 101, Honolulu to Manila departing HNL 20 May 2023, arriving MNL 21 May 2023. My biggest issue the our missing baggage of which I am pleased to report that our remaining luggage was just delivered today 23 May 2023 at approximately 12:30pm Manila time to our hotel in Eastwood City, Quezon City, Philippines. All three pieces were delivered intact by the courier contracted by Philippine Airline. I wish to thank PAL for their hard efforts in retrieving our missing luggage. I am pleased with PAL's efforts and with their ground and cabin service I am happy to say I will fly them again.",A330-300,Family Leisure,Economy Class,Honolulu to Manila,May-23,5,5,5,4,5,1,4,yes
7,Philippine Airlines,6,"""cabin crew was professional""",22nd May 2023,True,"Flight was delayed approximately 3.5hrs taking off Honolulu at 3pm instead of 1135am. The ground staff at PAL provided free refreshments, a nice touch. Once airborne, the flight was very smooth. As far as inflight service, I couldn't ask for better airline service. The cabin crew was professional, courteous, and attentive, even passing out menus in economy which I haven't seen in years. Hot towels were passed out before landing, again a nice touch. After a smooth and wonderful flight, what spoiled everything was that not all of our luggage was delivered. The baggage personnel stated that my son's baggage 2 pieces, and my wife's baggage 1 piece was pulled and not loaded on our aircraft due to possible weight issues which I don't believe, as none of this was ever brought to my attention",A330-300,Family Leisure,Economy Class,Honolulu to Manila,May-23,4,5,5,3,4,4,3,no
8,Germania Airline,8,"""service was quite good""",5th April 2016,False,"Tel Aviv to Hamburg with Germania. For a low cost, no frills airline service was quite good. Standard seats, reasonably comfortable, aircraft looked new. In flight entertainment limited to 1 movie, and you have to pay for earphones or bring your own - my standard earphones were not compatible with the system. Same movie inbound and outbound, from overhead screens. A so-called meal was served, which was a vegetarian pasta dish overloaded with basil - not a real substitue for lunch - but soft drinks were continuously offered. Overall, a pleasant flight. They have a 6kg weight limit for carry-on baggage, which wasn't checked outbound from TLV, but was checked at Hamburg, where only one check-in counter was operating. Seats do not recline.",A319,Business,Economy Class,TLV to HAM,Mar-16,4,4,2,3,1,1,4,yes
9,Air France,10,"""business class service was nothing short of stellar""",16th July 2023,True,"I am extremely impressed with the business class product on this international flight. The airplane has been in service for 24 years, but extremely well-kept. We had an hour delay due to a technical issue with one of the navigation instruments however Air France allowed us to stay in the terminal and not on the plane, something that I extremely appreciate. I was very disappointed, however, with fellow business class passengers for giving the crew a hard time because we were late due to the fact that they were trying to fix one of the navigational instruments. Really? You get upset because the delay is a safety issue that they are trying to fix before we take off on a 9 hour flight? Thank you Air France for ensuring that safety came first. I would",Boeing 777-200,Business,Business Class,"Paris to Newark, New Jersey",Jul-23,4,5,5,4,5,5,5,yes
10,Southwest Airlines,10,"""continues to be our go-to airline""",8th May 2023,False,"Southwest continues to be our go-to airline with 12 roundtrips this year so far. The service, price, baggage policy, and cancellation/change policy cannot be touched by any other airline. The price cannot be matched by any other airline. After looking at other options, I cannot fathom why anyone wouldn't choose Southwest first. We love em.",Boeing 737-800,Family Leisure,Economy Class,Norfolk to Orlando via Baltimore,Apr-23,5,5,5,5,5,5,5,yes
