question,context,answers
what is the treatment for cold,"For adults and children age 5 and older, OTC decongestants, antihistamines and pain relievers might offer some symptom relief. However, they won't prevent a cold or shorten its duration, and most have some side effects.","{'text': [""Try OTC cold and cough medications.""]}"
what is the best treatment for type 2 diabetes,"Metformin (Fortamet, Glumetza, others) is generally the first medicine prescribed for type 2 diabetes. It works mainly by lowering glucose production in the liver and improving the body's sensitivity to insulin so it uses insulin more effectively. Some people experience B-12 deficiency and may need to take supplements.","{'text': [""Metaformin""]}"
What is the best treatment for high cholesterol?,"Statins are one of the best-studied classes of medications and the most commonly used drugs for lowering LDL cholesterol. They are the most effective drugs for prevention of coronary heart disease, heart attack, stroke, and death","{'text': [""statins""]}"
what is the best treatment for ashma?,"There's currently no cure for asthma, but treatment can help control the symptoms so you're able to live a normal, active life. Inhalers, which are devices that let you breathe in medicine, are the main treatment. Tablets and other treatments may also be needed if your asthma is severe.","{'text': [""inhalers""]}"
what is the best treatment for acid reflux,Treatment of Gastroesophageal Reflux Disease GERD adults and pediatric patients Symptomatic GERD Omeprazole delayedrelease capsules USP are indicated for the treatment of heartburn and other symptoms associated with GERD in pediatric patients and adults Erosive Esophagitis Omeprazole delayedrelease capsules USP are indicated for the shortterm treatment 4 to 8 weeks of erosive esophagitis that has been,"{'text': [""omeprazole""]}"
What is the best treatment for hepatitis C infections?,Hepatitis C is treated using direct-acting antiviral (DAA) tablets. DAA tablets are the safest and most effective medicines for treating hepatitis C. They're highly effective at clearing the infection in more than 90% of people.,"{'text': [""direct-acting antiviral (DAA) tablets""]}"
What is the best treatment for rheumatoid arthritis pain?,There is no cure for rheumatoid arthritis. But clinical studies indicate that remission of symptoms is more likely when treatment begins early with medications known as disease-modifying antirheumatic drugs (DMARDs).,"{'text': [""disease-modifying antirheumatic drugs (DMARDs)""]}"
What is the best treatment for ADHD symptoms?,Stimulants are typically the first medication used for ADHD in both children and adults. Stimulants have been shown in multiple studies to be more effective than other medications in the treatment of ADHD.,"{'text': [""stimulants""]}"
What is the best treatment for hypothyroidism?,"An underactive thyroid (hypothyroidism) is usually treated by taking daily hormone replacement tablets called levothyroxine. Levothyroxine replaces the thyroxine hormone, which your thyroid does not make enough of. You'll initially have regular blood tests until the correct dose of levothyroxine is reached.","{'text': [""Levothyroxine""]}"
What is the best treatment for COPD symptoms?,"Several kinds of medications are used to treat the symptoms and complications of COPD. You may take some medications on a regular basis and others as needed. Bronchodilators are medications that usually come in inhalers — they relax the muscles around your airways. This can help relieve coughing and shortness of breath and make breathing easier. Depending on the severity of your disease, you may need a short-acting bronchodilator before activities, a long-acting bronchodilator that you use every day or both.","{'text': [""bronchodilator""]}"
What is the best treatment for type 1 diabetes?,Anyone who has type 1 diabetes needs insulin therapy throughout their life,"{'text': [""insulin therapy""]}"
What is the best treatment for Crohn's disease?,"For some people, a combination of these drugs works better than one drug alone. Immune system suppressors include: Azathioprine (Azasan, Imuran) and mercaptopurine (Purinethol, Purixan). These are the most widely used immunosuppressants for treatment of inflammatory bowel disease.","{'text': ["" Immune system suppressors include: Azathioprine (Azasan, Imuran) and mercaptopurine (Purinethol, Purixan)""]}"
What is the best treatment for epilepsy seizures?,"Most people with epilepsy can become seizure-free by taking one anti-seizure medicine, which is also called anti-epileptic medicine. Others may be able to decrease the frequency and intensity of their seizures by taking a combination of medicines.","{'text': [""anti-seizure medicine. Also called anti-epileptic medicine""]}"
What is the best treatment for skin cancer?,"Surgery is the primary treatment for most skin cancers. For patients with basal cell or squamous cell carcinomas, a dermatologist or other qualified doctor may perform an outpatient procedure using a local anesthetic.","{'text': [""surgery""]}"
What is the best treatment for ulcerative colitis?,"Ulcerative colitis treatment usually involves either medication therapy or surgery. Several categories of medications may be effective in treating ulcerative colitis. The type you take will depend on the severity of your condition. The medications that work well for some people may not work for others. It may take time to find a medication that helps you. In addition, because some medications have serious side effects, you'll need to weigh the benefits and risks of any treatment.","{'text': [""medication or surgery""]}"
What is the best treatment for osteoporosis?,Bisphosphonates are usually the first choice for osteoporosis treatment,"{'text': [""Bisphosphonates ""]}"
what is the best treatment for MS?,"For primary-progressive MS , ocrelizumab (Ocrevus) is the only FDA-approved disease-modifying therapy (DMT). Those who receive this treatment are slightly less likely to progress than those who are untreated","{'text': [""ocrelizumab (Ocrevus)""]}"
what is the best treatment for osteoarthritis?,Exercise and weight loss are the best ways to beat osteoarthritis (OA) pain.,"{'text': [""Exercise and weight loss ""]}"
what is the best treatment for flu?,"To treat flu, oseltamivir or inhaled zanamivir are usually prescribed for five days","{'text': [""oseltamivir or inhaled zanamivir ""]}"
what is the best treatment for DVT?,Treatment for DVT usually involves taking anticoagulant medicines. These reduce the blood's ability to clot and stop existing clots getting bigger. Heparin and warfarin are 2 types of anticoagulant often used to treat DVT. Heparin is usually prescribed first because it works immediately to prevent further clotting.,"{'text': ["" anticoagulant drugs. Heparin and warfarin are two examples""]}"
